,EFINVA
32945,-1025
14503,0
40230,0
39703,250
75580,0
1115,1600
58181,1025
15758,14750
9059,37000
9106,0
34235,100
27188,0
83901,25
64681,0
64541,50
61306,375
11543,0
90443,0
33449,16200
26434,101500
18313,0
36890,700
17873,0
21037,1325
75218,0
58014,0
59691,65000
2611,0
2861,0
73153,50
66511,0
87129,650
38063,25
26148,0
32546,-100
38013,0
26178,175
12833,200
16035,50
6953,4300
8032,0
75799,0
12372,775
61225,9450
37021,3350
13889,0
90600,0
89809,0
58426,125
55659,0
65991,0
69466,0
4293,0
53214,0
8026,8100
53308,0
38783,875
91000,4600
34505,0
81285,4950
64489,0
39296,175
3961,0
70923,0
54578,825
31423,200
37295,15000
47057,12500
85983,300
5659,125
49290,0
27626,0
50453,0
59301,50
55582,425
26587,0
7476,0
83747,0
28695,0
35924,0
26670,0
68689,75
40902,0
88079,4025
12155,0
32847,0
77183,0
18530,0
76430,0
65559,175
54222,0
69477,275
86869,0
32411,1825
40514,50
92252,0
21862,95000
21850,575
21993,25
23492,0
47165,0
28675,0
66308,150
34330,0
842,0
3332,0
14013,0
34712,0
16982,0
92140,0
26945,0
91174,0
25126,0
54747,29000
58654,0
9738,0
12912,0
44711,0
5850,1950
59079,0
51855,0
13172,25
87397,5500
7482,0
66702,0
53009,0
17159,275
29720,0
79667,50
74513,196000
50867,295000
75556,1525
14925,0
29293,15100
84039,0
67789,5000
24862,50
67584,0
5433,37000
71277,0
72342,0
51275,0
28363,0
78146,450
70943,0
19698,1150
67657,50
87839,0
71573,525
51561,0
60299,0
1801,0
10972,0
79796,2050
15677,950
91374,0
83350,1800
12213,0
13904,300
24446,0
20324,28800
23934,0
56012,0
71898,425
28285,0
84843,2800
75274,0
30669,7400
29476,0
53298,0
6067,825
86693,29000
54755,2400
21580,475
44296,0
74167,107725
71717,0
11661,3125
641,300
82055,0
57538,375
38819,175
9817,0
10692,0
9422,25
6244,0
40889,500
34860,100
57691,10750
76537,0
13187,75
71710,0
14767,0
92122,0
32347,13000
27112,0
87880,0
20710,975
70680,0
76671,400
16294,50
50892,8400
